Bar at time: 2026-03-18 22:08:19, startBid:71009, endBid:71005, highBid:71009, lowBid:1.39065e-309, avgBid:71009, avgBidSize:1.2892, startAsk:71100, endAsk:71100, highAsk:71100, lowAsk:0, avgAsk:71100, avgAskSize:2.55879, bid_quote_count:-136170511, ask_quote_count:-136170463
Bar at time: 2026-03-18 22:08:19, startBid:71014, endBid:71014, highBid:71014, lowBid:71014, avgBid:71014, avgBidSize:1.2662, startAsk:71100, endAsk:71100, highAsk:71100, lowAsk:71100, avgAsk:71100, avgAskSize:2.55879, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:08:19, startBid:71014, endBid:71014, highBid:71014, lowBid:71014, avgBid:71014, avgBidSize:1.2662, startAsk:71112, endAsk:71112, highAsk:71112, lowAsk:71112, avgAsk:71112, avgAskSize:1.273, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:08:19, startBid:71014, endBid:71005, highBid:71014, lowBid:71005, avgBid:71014, avgBidSize:1.2662, startAsk:71088, endAsk:71088, highAsk:71088, lowAsk:71088, avgAsk:71088, avgAskSize:1.266, bid_quote_count:30, ask_quote_count:30
Bar at time: 2026-03-18 22:08:20, startBid:71021, endBid:71005, highBid:71021, lowBid:71005, avgBid:71013, avgBidSize:1.26696, startAsk:71088, endAsk:71081, highAsk:71126, lowAsk:71081, avgAsk:71100, avgAskSize:1.27694, bid_quote_count:64, ask_quote_count:64
Bar at time: 2026-03-18 22:08:21, startBid:71005, endBid:71005, highBid:71010, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71081, endAsk:71050, highAsk:71120, lowAsk:71046, avgAsk:71062, avgAskSize:1.2848, bid_quote_count:240, ask_quote_count:240
Bar at time: 2026-03-18 22:08:28, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71050, endAsk:71050, highAsk:71050, lowAsk:71050, avgAsk:71050, avgAskSize:2.536, bid_quote_count:16, ask_quote_count:16
Bar at time: 2026-03-18 22:08:28, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71050, endAsk:71050, highAsk:71050, lowAsk:71050, avgAsk:71050, avgAskSize:2.536, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:08:28, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71060, endAsk:71060, highAsk:71060, lowAsk:71060, avgAsk:71060, avgAskSize:1.272, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:08:28, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71030, endAsk:71030, highAsk:71030, lowAsk:71030, avgAsk:71030, avgAskSize:1.27978, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:08:28, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71030, endAsk:71030, highAsk:71030, lowAsk:71030, avgAsk:71030, avgAskSize:1.27978, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:08:28, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71030, endAsk:71030, highAsk:71030, lowAsk:71030, avgAsk:71030, avgAskSize:1.27978, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:08:34, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71030, endAsk:71030, highAsk:71030, lowAsk:71030, avgAsk:71030, avgAskSize:1.27978, bid_quote_count:27, ask_quote_count:27
Bar at time: 2026-03-18 22:08:34, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71030, endAsk:71030, highAsk:71030, lowAsk:71030, avgAsk:71030, avgAskSize:1.27978, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:08:34, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71050, endAsk:71050, highAsk:71050, lowAsk:71050, avgAsk:71050, avgAskSize:2.54, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:08:34, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71044, endAsk:71044, highAsk:71044, lowAsk:71044, avgAsk:71044, avgAskSize:1.2689, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:08:34, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71044, endAsk:71044, highAsk:71044, lowAsk:71044, avgAsk:71044, avgAskSize:1.2689, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:08:34, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71044, endAsk:71044, highAsk:71044, lowAsk:71044, avgAsk:71044, avgAskSize:1.2689, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:08:34, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71044, endAsk:71044, highAsk:71044, lowAsk:71044, avgAsk:71044, avgAskSize:1.2689, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:08:49, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71044, endAsk:71044, highAsk:71044, lowAsk:71044, avgAsk:71044, avgAskSize:1.2689, bid_quote_count:26, ask_quote_count:26
Bar at time: 2026-03-18 22:08:49, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71044, endAsk:71044, highAsk:71044, lowAsk:71044, avgAsk:71044, avgAskSize:1.2689, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:08:49, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71052, endAsk:71052, highAsk:71052, lowAsk:71052, avgAsk:71052, avgAskSize:2.547, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:08:49, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71052, endAsk:71052, highAsk:71052, lowAsk:71052, avgAsk:71052, avgAskSize:2.547, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:08:49, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71052, endAsk:71052, highAsk:71052, lowAsk:71052, avgAsk:71052, avgAskSize:2.547, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:08:49, startBid:71005, endBid:71005, highBid:71005, lowBid:71005, avgBid:71005, avgBidSize:0.005958, startAsk:71052, endAsk:71052, highAsk:71052, lowAsk:71052, avgAsk:71052, avgAskSize:2.547, bid_quote_count:1, ask_quote_count:1
