Bar at time: 2026-03-18 22:17:49, startBid:71069, endBid:71029, highBid:71069, lowBid:1.39065e-309, avgBid:71069, avgBidSize:1.272, startAsk:71115, endAsk:71115, highAsk:71115, lowAsk:0, avgAsk:71115, avgAskSize:1.2786, bid_quote_count:-136170512, ask_quote_count:-136170464
Bar at time: 2026-03-18 22:17:50, startBid:71048, endBid:71048, highBid:71049, lowBid:71048, avgBid:71049, avgBidSize:2.557, startAsk:71115, endAsk:71123, highAsk:71129, lowAsk:71115, avgAsk:71123, avgAskSize:1.283, bid_quote_count:32, ask_quote_count:32
Bar at time: 2026-03-18 22:17:50, startBid:71048, endBid:71048, highBid:71048, lowBid:71048, avgBid:71048, avgBidSize:1.283, startAsk:71123, endAsk:71123, highAsk:71123, lowAsk:71123, avgAsk:71123, avgAskSize:1.283, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:17:53, startBid:71048, endBid:71032, highBid:71048, lowBid:71032, avgBid:71034, avgBidSize:2.53592, startAsk:71134, endAsk:71122, highAsk:71134, lowAsk:71122, avgAsk:71122, avgAskSize:1.276, bid_quote_count:31, ask_quote_count:31
Bar at time: 2026-03-18 22:17:53, startBid:71060, endBid:71060, highBid:71060, lowBid:71060, avgBid:71060, avgBidSize:1.2756, startAsk:71122, endAsk:71122, highAsk:71122, lowAsk:71122, avgAsk:71122, avgAskSize:1.276, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:17:54, startBid:71060, endBid:71049, highBid:71060, lowBid:71049, avgBid:71060, avgBidSize:1.2756, startAsk:71155, endAsk:71110, highAsk:71155, lowAsk:71110, avgAsk:71110, avgAskSize:1.2727, bid_quote_count:31, ask_quote_count:31
Bar at time: 2026-03-18 22:17:57, startBid:71054, endBid:71043, highBid:71054, lowBid:71043, avgBid:71054, avgBidSize:1.275, startAsk:71110, endAsk:71116, highAsk:71151, lowAsk:71110, avgAsk:71116, avgAskSize:1.2894, bid_quote_count:32, ask_quote_count:32
Bar at time: 2026-03-18 22:17:57, startBid:71049, endBid:71049, highBid:71049, lowBid:71049, avgBid:71049, avgBidSize:1.29, startAsk:71116, endAsk:71116, highAsk:71116, lowAsk:71116, avgAsk:71116, avgAskSize:1.2894, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:17:57, startBid:71049, endBid:71049, highBid:71049, lowBid:71049, avgBid:71049, avgBidSize:1.29, startAsk:71165, endAsk:71165, highAsk:71165, lowAsk:71165, avgAsk:71165, avgAskSize:2.57947, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:17:59, startBid:71049, endBid:71049, highBid:71056, lowBid:71049, avgBid:71056, avgBidSize:2.5531, startAsk:71147, endAsk:71136, highAsk:71147, lowAsk:71136, avgAsk:71136, avgAskSize:2.5412, bid_quote_count:30, ask_quote_count:30
Bar at time: 2026-03-18 22:17:59, startBid:71049, endBid:71049, highBid:71049, lowBid:71049, avgBid:71049, avgBidSize:1.29, startAsk:71136, endAsk:71136, highAsk:71136, lowAsk:71136, avgAsk:71136, avgAskSize:2.5412, bid_quote_count:1, ask_quote_count:1
Bar at time: 2026-03-18 22:18:03, startBid:71049, endBid:71037, highBid:71049, lowBid:71037, avgBid:71049, avgBidSize:2.543, startAsk:71147, endAsk:71124, highAsk:71147, lowAsk:71124, avgAsk:71124, avgAskSize:2.5508, bid_quote_count:31, ask_quote_count:31
